Business_ID,Business_Name,Business_Description,Industry_Type,Business_Type,Years_in_Operation,Credit_Score,State,District,Employees,Annual_Revenue_Year1,Annual_Revenue_Year2,Annual_Revenue_Year3,Assets_Year1,Assets_Year2,Assets_Year3,Loan_Amount_Year1,Loan_Amount_Year2,Loan_Amount_Year3,Growth_Rate (%),Eligible_Schemes,Scheme_Description,Historical_Scheme_Adoption
16,PQR Services,A family-run textile business making handloom fabrics.,Pharmaceuticals,Small,41,765,Gujarat,Visakhapatnam,487,27500219.99,19501779.83,5605041.614,2689331.43,19291869.48,19130529.97,9043353.31,9760377.967,6772415.446,-7.64461377,Scheme A,Subsidized loans for women entrepreneurs in the food industry.,No
17,LMN Industries,A small manufacturing unit producing auto parts.,Manufacturing,Medium,36,301,Assam,Bhopal,345,23158116.89,35112646.84,998915.5976,5565925.288,18235562.63,14126040.58,8065799.857,3308121.715,9075606.778,6.199316253,Scheme C,Low-interest loans for MSMEs in the manufacturing sector.,No
18,XYZ Enterprises,An innovative food processing startup focusing on organic products.,Retail,Micro,21,493,Gujarat,Ranchi,317,48859583.49,31921346.53,34827833.39,7684539.992,3214237.46,17502971.95,4084659.368,6011650.724,567435.1038,-9.567293781,Scheme C,Low-interest loans for MSMEs in the manufacturing sector.,Yes
19,PQR Services,A family-run textile business making handloom fabrics.,E-commerce,Micro,11,703,Madhya Pradesh,Lucknow,188,40462707.06,41263752.69,9844776.254,14401081.62,10451495.07,441757.9183,7237892.67,1641062.221,6167700.092,28.30611152,Scheme C,Low-interest loans for MSMEs in the manufacturing sector.,No
20,PQR Services,A small manufacturing unit producing auto parts.,Construction,Medium,47,756,Uttar Pradesh,Ahmedabad,335,621893.4539,34110599.21,29762439.4,8709411.959,18071719.22,10077916.54,9480241.618,3006515.853,5961934.596,35.43209599,Scheme B,Low-interest loans for MSMEs in the manufacturing sector.,No
21,XYZ Enterprises,A small manufacturing unit producing auto parts.,Retail,Small,10,597,Punjab,Dehradun,176,43028410.88,12970741.69,5340860.193,12571601.8,19598206.77,13126224.37,321410.6602,6306908.162,7010702.673,11.37337924,Scheme D,Government-backed credit support for IT startups.,No
22,XYZ Enterprises,A growing IT services company specializing in cloud solutions.,Pharmaceuticals,Medium,42,876,Chhattisgarh,Ranchi,2,39535778.84,8804067.942,4019724.46,14065427.18,6499038.201,16864315.36,5184669.595,2881760.531,6385327.713,27.57947833,Scheme D,Tax benefits for small textile businesses.,Yes
23,LMN Industries,A growing IT services company specializing in cloud solutions.,Textile,Medium,31,558,Uttarakhand,Surat,375,34396278.97,25963716.59,2888048.587,13771440.75,1029506.648,13091767.28,7350159.548,9897170.915,9200933.443,18.75371001,Scheme A,Low-interest loans for MSMEs in the manufacturing sector.,No
24,XYZ Enterprises,An innovative food processing startup focusing on organic products.,Food & Beverage,Medium,12,746,Himachal Pradesh,Agra,48,15452434.86,34600705.05,36061285.99,8393679.768,14123700.95,4749334.226,9281646.581,9718777.171,5853449.76,47.1169633,Scheme D,Subsidized loans for women entrepreneurs in the food industry.,Yes
25,LMN Industries,A growing IT services company specializing in cloud solutions.,Retail,Micro,40,337,Uttarakhand,Nagpur,77,38545856.49,41242637.27,15700574.88,7376751.774,12657687.97,13785729.1,8617961.495,4027340.556,4752253.639,40.17824264,Scheme D,Government-backed credit support for IT startups.,Yes
26,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Food & Beverage,Small,18,720,Karnataka,Ahmedabad,427,24864950.82,2130143.114,8373431.954,2589838.11,9428134.632,9504533.025,4953721.402,1309223.243,9603199.252,20.25786554,Scheme A,Government-backed credit support for IT startups.,No
27,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Tourism,Micro,43,393,Tamil Nadu,Panaji,422,7325863.219,14481239.3,45668089.4,2041726.163,12134717.67,19163112.31,8818518.491,2342543.663,5848066.381,13.11432258,Scheme D,Tax benefits for small textile businesses.,Yes
28,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,Construction,Micro,32,639,Jharkhand,Visakhapatnam,90,26068658.43,32522109.1,22755101.2,12281684.89,18469092.35,18519931.17,6765184.944,1301468.616,9477432.692,38.43854487,Scheme C,Government-backed credit support for IT startups.,Yes
29,LMN Industries,An innovative food processing startup focusing on organic products.,E-commerce,Medium,6,630,Chhattisgarh,Guwahati,34,4548890.888,12800802.95,10498278.58,16356357.15,13013497.32,11742409.91,303013.0123,7289025.329,3813913.176,4.065656978,Scheme C,Subsidized loans for women entrepreneurs in the food industry.,No
30,ABC Pvt Ltd,A family-run textile business making handloom fabrics.,Education,Micro,49,476,Gujarat,Kolkata,256,1789345.65,34114373.48,36754095.53,16818010.1,3174597.92,16188892.31,7594324.781,8429037.292,8988926.977,9.104408534,Scheme C,Low-interest loans for MSMEs in the manufacturing sector.,Yes
31,ABC Pvt Ltd,A family-run textile business making handloom fabrics.,Food & Beverage,Medium,8,365,Jharkhand,Surat,32,10607359.43,24886487.54,3446176.373,9242176.573,14167980.25,16159096.55,3739198.697,4249250.97,9698467.875,5.459319429,Scheme D,Low-interest loans for MSMEs in the manufacturing sector.,No
32,LMN Industries,A small manufacturing unit producing auto parts.,Automobile,Small,28,470,Madhya Pradesh,Jaipur,441,24953879.84,46336187.01,32704099.36,7780106.973,6270123.918,19381887.61,5681674.712,4193517.232,421335.5665,43.66282803,Scheme B,Tax benefits for small textile businesses.,No
33,PQR Services,A small manufacturing unit producing auto parts.,Retail,Small,21,707,Himachal Pradesh,Mumbai,432,15317612.6,19445204.26,32662962.37,15011683.76,3128777.545,14295432.24,4609720.696,7779670.983,4401349.61,25.89507259,Scheme D,Subsidized loans for women entrepreneurs in the food industry.,No
34,PQR Services,A small manufacturing unit producing auto parts.,Tourism,Small,30,784,West Bengal,Bhopal,78,20600136.33,47231167.53,3716419.295,10835081.04,11430353.67,14083018.35,994443.8146,6313094.326,3304412.001,29.49107479,Scheme B,Government-backed credit support for IT startups.,No
35,PQR Services,A family-run textile business making handloom fabrics.,Tourism,Medium,12,365,Goa,Panaji,255,18190951.42,9719665.713,32029260.13,8982169.934,13042858.45,15820773.76,5808984.546,8929441.866,1364165.194,33.04491106,Scheme B,Government-backed credit support for IT startups.,No
36,XYZ Enterprises,An innovative food processing startup focusing on organic products.,Automobile,Medium,12,636,Goa,Dehradun,143,14021415.05,310927.8829,46516629.35,13451502.5,18339051.65,6224059.736,3652206.643,5061072.234,1986910.89,23.863552,Scheme B,Low-interest loans for MSMEs in the manufacturing sector.,Yes
37,XYZ Enterprises,An innovative food processing startup focusing on organic products.,Manufacturing,Micro,33,589,Maharashtra,Shimla,19,35605005.14,48663539.06,3670484.982,486497.7932,10252510.27,18244894.8,7980503.17,7108382.537,9311945.407,4.764741051,Scheme D,Tax benefits for small textile businesses.,Yes
38,PQR Services,A family-run textile business making handloom fabrics.,E-commerce,Micro,28,559,Assam,Indore,236,13139012.12,1312221.663,34893307.63,14451311.29,10915562.72,1577451.018,1410889.55,7556655.651,2117563.28,17.06801829,Scheme D,Subsidized loans for women entrepreneurs in the food industry.,Yes
39,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,Tourism,Medium,47,351,Himachal Pradesh,Panaji,82,25325687.42,10522185.15,12746608.79,13724570.56,19575656.93,6955898.572,9888139.876,4103579.768,8351874.724,0.841330496,Scheme A,Government-backed credit support for IT startups.,Yes
40,PQR Services,A small manufacturing unit producing auto parts.,Retail,Micro,10,371,Uttarakhand,Bhopal,371,20037571.32,8521193.477,41464013.89,12777177.93,3284177,2211230.99,8165998.114,8461497.843,8240372.05,13.96799436,Scheme B,Subsidized loans for women entrepreneurs in the food industry.,No
41,PQR Services,A growing IT services company specializing in cloud solutions.,Automobile,Micro,46,791,West Bengal,Hyderabad,120,12347793.01,19797477.97,4653110.831,14727774.11,669268.5862,18720267.7,3422604.67,6758051.031,1407569.498,27.18159445,Scheme A,Low-interest loans for MSMEs in the manufacturing sector.,No
42,XYZ Enterprises,A growing IT services company specializing in cloud solutions.,Manufacturing,Small,43,794,Maharashtra,Agra,22,19866815.88,41777483.47,45453730.54,745253.5276,3875454.41,13551821.78,2432271.418,631011.3054,1416579.219,14.86182242,Scheme C,Tax benefits for small textile businesses.,Yes
43,ABC Pvt Ltd,A family-run textile business making handloom fabrics.,E-commerce,Small,23,458,Telangana,Chandigarh,219,30098892.6,21044394.98,3335480.878,18874253.63,10825787.93,4229478.559,1105410.9,21931.76076,4164154.902,15.22395036,Scheme B,Low-interest loans for MSMEs in the manufacturing sector.,Yes
44,XYZ Enterprises,A growing IT services company specializing in cloud solutions.,Construction,Medium,10,705,Uttarakhand,Lucknow,284,28646727.33,14846841.31,2394531.021,12492437.67,6326291.083,16128139.26,6609666.882,6552201.094,9732895.977,-6.978030082,Scheme D,Government-backed credit support for IT startups.,Yes
45,LMN Industries,A small manufacturing unit producing auto parts.,Automobile,Micro,29,326,Telangana,Lucknow,346,37247466.23,7124147.508,20317702.97,13556290.27,19680088.05,14354391.84,8892960.916,1903093.928,7674087.493,13.86206089,Scheme A,Government-backed credit support for IT startups.,No
46,LMN Industries,A small manufacturing unit producing auto parts.,E-commerce,Medium,37,849,Jharkhand,Panaji,231,19341830.06,49067178.27,39646087.44,19280492.98,6946023.358,3974034.561,4355968.195,4613317.674,1064569.986,12.08043919,Scheme C,Subsidized loans for women entrepreneurs in the food industry.,No
47,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Pharmaceuticals,Medium,39,402,Gujarat,Patna,382,13321512.56,15918054.47,12080003.37,7049397.587,4967197.68,16765946.68,8482481.223,4674753.186,1455948.859,-1.543753405,Scheme C,Low-interest loans for MSMEs in the manufacturing sector.,Yes
48,XYZ Enterprises,A small manufacturing unit producing auto parts.,Pharmaceuticals,Medium,21,575,Uttar Pradesh,Delhi,43,40538965.5,42619588.38,5710300.444,2166517.496,16086050.1,13891141.96,9432631.284,9790527.509,1235120.395,42.14551164,Scheme B,Government-backed credit support for IT startups.,Yes
49,PQR Services,A growing IT services company specializing in cloud solutions.,Construction,Medium,40,471,Telangana,Patna,349,36714360.18,24226380.59,28082381,6879120.653,17873259.08,18403304.19,4032708.949,2273563.987,9436719.158,18.35055288,Scheme C,Tax benefits for small textile businesses.,Yes
50,PQR Services,A growing IT services company specializing in cloud solutions.,Construction,Micro,34,355,Gujarat,Guwahati,139,19359714.16,38596917.37,19940429.83,6016183.322,19062019.74,17953499.45,5743493.067,6142509.92,1548896.608,21.30290804,Scheme A,Government-backed credit support for IT startups.,No
51,LMN Industries,A growing IT services company specializing in cloud solutions.,IT Services,Medium,40,705,Madhya Pradesh,Kanpur,312,47347528.17,13162677.43,29588166.2,2714057.953,4595553.548,14576832.78,4632005.181,6939840.049,4611470.65,-7.750404101,Scheme A,Government-backed credit support for IT startups.,No
52,XYZ Enterprises,A small manufacturing unit producing auto parts.,Education,Medium,49,899,Assam,Coimbatore,385,25412233.94,245554.7924,47281573.35,9376309.673,10810677.41,2851025.486,5149971.858,8180502.946,6379108.224,19.86776042,Scheme A,Subsidized loans for women entrepreneurs in the food industry.,Yes
53,PQR Services,A growing IT services company specializing in cloud solutions.,Pharmaceuticals,Micro,18,611,Uttarakhand,Guwahati,335,46470294.76,47127882.53,48202215.02,16017580.21,18838455.61,1207118.731,3065468.297,2504594.401,9252758.911,49.57269276,Scheme A,Subsidized loans for women entrepreneurs in the food industry.,No
54,LMN Industries,A family-run textile business making handloom fabrics.,Healthcare,Small,49,359,Assam,Visakhapatnam,394,43844689.37,20862393.33,8470242.743,12283658.75,9128309.59,18913664.57,7595340.289,1462946.181,7172262.786,45.22140233,Scheme C,Tax benefits for small textile businesses.,No
55,PQR Services,A growing IT services company specializing in cloud solutions.,Food & Beverage,Medium,29,489,Haryana,Indore,242,40670042.93,15243160.68,2798915.23,3509883.945,13387062.91,12140471.33,7934038.225,244041.6562,5761080.232,18.42831279,Scheme D,Low-interest loans for MSMEs in the manufacturing sector.,No
56,LMN Industries,A small manufacturing unit producing auto parts.,IT Services,Small,18,523,Delhi,Ahmedabad,183,17244490.39,38852247.6,29160388.8,16638799.72,7060370.542,12654607.03,369488.4532,7590255.117,6570392.998,38.32501876,Scheme D,Tax benefits for small textile businesses.,Yes
57,LMN Industries,A family-run textile business making handloom fabrics.,Healthcare,Small,7,424,Karnataka,Mumbai,320,12459010.77,41751677.6,40885293.45,7869419.429,12071158.35,3496458.147,1309555.323,1635935.914,7641399.747,4.266120677,Scheme C,Subsidized loans for women entrepreneurs in the food industry.,No
58,LMN Industries,A growing IT services company specializing in cloud solutions.,Education,Medium,26,868,Punjab,Kanpur,361,13257052.89,24157175.46,25803023.87,1250626.706,12617650.4,12725319.18,1659014.796,9900365.558,8233365.819,0.555375098,Scheme D,Tax benefits for small textile businesses.,Yes
59,XYZ Enterprises,A small manufacturing unit producing auto parts.,Healthcare,Micro,13,548,Telangana,Bhopal,273,32210581.1,44045129.29,40386658.04,18665379,14087043.42,7990486.383,9043588.418,7280406.927,8524597.435,12.00606102,Scheme A,Tax benefits for small textile businesses.,Yes
60,PQR Services,A small manufacturing unit producing auto parts.,Automobile,Micro,47,601,Karnataka,Agra,198,8842977.339,22244456.72,34229549.24,12968878.29,9451247.32,16243464.34,3693529.728,6909663.472,7538178.852,8.38415805,Scheme C,Subsidized loans for women entrepreneurs in the food industry.,Yes
61,LMN Industries,A family-run textile business making handloom fabrics.,Tourism,Micro,22,301,Telangana,Nagpur,114,3816292.07,14767829.94,29517633.82,7992944.904,8988403.241,16661545.41,1488890.983,7248111.515,1243441.066,34.331656,Scheme A,Low-interest loans for MSMEs in the manufacturing sector.,No
62,LMN Industries,A family-run textile business making handloom fabrics.,Retail,Medium,7,846,Karnataka,Ahmedabad,410,36223014.23,25556414.77,12477437.05,416282.1044,16924483.7,7195409.731,8170755.761,7976629.677,9948865.334,-0.228628326,Scheme C,Tax benefits for small textile businesses.,No
63,ABC Pvt Ltd,A growing IT services company specializing in cloud solutions.,Education,Small,35,324,Rajasthan,Coimbatore,219,5292604.357,46476452.77,27092113.07,8260634.269,2826758.741,4156140.563,38967.7686,5025672.896,5293207.826,-4.356323286,Scheme B,Government-backed credit support for IT startups.,Yes
64,ABC Pvt Ltd,A growing IT services company specializing in cloud solutions.,Manufacturing,Micro,47,384,Uttarakhand,Varanasi,491,26894924.79,17931605.06,26797664.44,14771060.3,5395281.19,15526381.99,823672.3295,8081138.353,3841713.581,6.870785888,Scheme D,Subsidized loans for women entrepreneurs in the food industry.,No
65,LMN Industries,A family-run textile business making handloom fabrics.,Food & Beverage,Micro,6,469,Rajasthan,Hyderabad,226,15467492.23,33089256.57,45527326.44,1447172.402,1617667.442,18507886.2,3577430.561,1440896.64,5027764.587,30.29285703,Scheme D,Government-backed credit support for IT startups.,Yes
66,LMN Industries,A family-run textile business making handloom fabrics.,Automobile,Medium,7,844,Goa,Madurai,377,19644053.35,23380542.28,16109028.81,13152826.45,18614217.58,539613.8004,6763163.239,7443406.735,8086765.367,27.30066345,Scheme A,Low-interest loans for MSMEs in the manufacturing sector.,Yes
67,PQR Services,A growing IT services company specializing in cloud solutions.,Healthcare,Small,24,595,Punjab,Agra,438,16051005.73,7794486.423,23785021.15,3972533.782,8847423.046,9170510.472,5199039.463,1977745.489,8268715.467,-9.855203555,Scheme D,Low-interest loans for MSMEs in the manufacturing sector.,No
68,XYZ Enterprises,A small manufacturing unit producing auto parts.,Food & Beverage,Small,29,475,Assam,Delhi,455,12244505.82,17686193.36,24870527.57,18814528.65,18526372.16,1454206.521,9919152.205,6166352.703,7497591.316,42.74379863,Scheme B,Government-backed credit support for IT startups.,No
69,PQR Services,An innovative food processing startup focusing on organic products.,Tourism,Micro,27,379,Andhra Pradesh,Chennai,36,23786521.71,43515952.02,29529700.86,1404494.781,11005649.87,4462538.322,362364.8502,7535486.964,2722980.52,34.2696544,Scheme C,Government-backed credit support for IT startups.,No
70,LMN Industries,A small manufacturing unit producing auto parts.,IT Services,Small,37,611,Bihar,Vadodara,216,18460829.85,917938.6714,5685892.743,18951282.03,11020315.39,15011446.59,3485954.874,2114298.347,7470828.913,38.96381995,Scheme B,Low-interest loans for MSMEs in the manufacturing sector.,Yes
71,PQR Services,A family-run textile business making handloom fabrics.,Textile,Small,9,604,Goa,Ranchi,136,1394695.634,10540127.82,38962967.89,19987448.42,9373812.582,17227211.66,2627544.809,7205213.186,6836583.31,17.52996406,Scheme C,Low-interest loans for MSMEs in the manufacturing sector.,Yes
72,LMN Industries,An innovative food processing startup focusing on organic products.,Manufacturing,Small,31,445,West Bengal,Vadodara,38,36334959.98,24513483.25,32340632.51,6642044.854,16848844.4,1563446.517,357878.6949,8780293.2,2180366.881,13.92111012,Scheme D,Subsidized loans for women entrepreneurs in the food industry.,No
73,XYZ Enterprises,A small manufacturing unit producing auto parts.,Automobile,Small,43,363,Haryana,Delhi,127,12991554.48,48806124.16,5314798.401,7105593.572,17787771.65,1281770.198,7248841.126,5285093.575,5923245.661,44.15846064,Scheme A,Government-backed credit support for IT startups.,No
74,PQR Services,A family-run textile business making handloom fabrics.,Healthcare,Micro,22,396,Rajasthan,Dehradun,120,24809557.62,19881805.52,12373448.93,6385802.929,18478303.41,16878231.32,4945051.849,4096801.499,1433704.154,39.58136062,Scheme A,Low-interest loans for MSMEs in the manufacturing sector.,No
75,PQR Services,A family-run textile business making handloom fabrics.,Pharmaceuticals,Small,28,755,Tamil Nadu,Jaipur,141,1271714.56,14583530.93,25066605.11,13374138.08,3726513.352,6206373.557,8622987.48,5648060.699,5928254.26,24.42408313,Scheme C,Government-backed credit support for IT startups.,No
76,PQR Services,A growing IT services company specializing in cloud solutions.,Tourism,Medium,48,606,Madhya Pradesh,Indore,450,3203461.933,48245051.16,25770605.91,18151040.95,14055510.31,7186374.564,9143813.33,1639465.678,1331233.82,-2.419842915,Scheme C,Subsidized loans for women entrepreneurs in the food industry.,Yes
77,LMN Industries,A growing IT services company specializing in cloud solutions.,Construction,Small,15,647,Punjab,Indore,347,36858472.9,20882757.31,21549344.02,9527720.068,8776987.798,1685198.094,7895694.179,8613528.526,9907898.973,0.247342783,Scheme D,Government-backed credit support for IT startups.,No
78,ABC Pvt Ltd,A growing IT services company specializing in cloud solutions.,Food & Beverage,Micro,35,494,Rajasthan,Mumbai,451,34612342.72,47265515.03,19725403.14,8616731.315,15514170.85,5529925.261,473709.5019,8173623.609,485807.7677,-6.263655553,Scheme A,Tax benefits for small textile businesses.,No
79,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Pharmaceuticals,Small,48,614,Tamil Nadu,Ahmedabad,276,33833671.07,18357424.13,19671638.14,18237417.4,8357365.661,1069030.81,352607.2104,3074558.526,1968417.595,49.27393598,Scheme B,Government-backed credit support for IT startups.,Yes
80,XYZ Enterprises,An innovative food processing startup focusing on organic products.,Automobile,Micro,10,346,Uttar Pradesh,Nagpur,163,15345640.63,5256112.806,22548535.25,9850902.698,15954245.58,1639711.113,6702726.841,964022.7691,1010754.472,-1.007187029,Scheme C,Tax benefits for small textile businesses.,No
81,XYZ Enterprises,A small manufacturing unit producing auto parts.,Manufacturing,Micro,46,551,Delhi,Chandigarh,202,22161740.09,5562346.62,16027535.57,7766402.29,1072088.412,15792331.38,9395572.655,809659.2469,5994500.719,49.60360517,Scheme C,Subsidized loans for women entrepreneurs in the food industry.,Yes
82,LMN Industries,A growing IT services company specializing in cloud solutions.,Manufacturing,Micro,12,452,Telangana,Kanpur,229,2566234.475,10948924.15,22571628.54,13501897.89,12363096.43,3967593.695,1626628.262,2114118.336,459385.2516,14.46306283,Scheme B,Low-interest loans for MSMEs in the manufacturing sector.,Yes
83,XYZ Enterprises,A small manufacturing unit producing auto parts.,Education,Micro,21,880,Uttar Pradesh,Thiruvananthapuram,56,25896821.83,41161104.28,49239759.94,5619463.994,13077286.77,946631.9548,6489018.832,6904038.725,7451329.582,32.71258919,Scheme D,Tax benefits for small textile businesses.,Yes
84,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,Textile,Micro,31,556,Uttar Pradesh,Bhopal,393,22065535.55,27190427.52,15070364.11,7172997.646,6989986.922,753384.5772,9986044.476,6560558.389,4867891.59,28.78668979,Scheme B,Government-backed credit support for IT startups.,Yes
85,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Retail,Medium,21,795,Goa,Kanpur,188,15652322.99,12285298.73,46096516.83,18508070.18,3122879.12,6270265.929,420487.5362,9564304.563,8945802.895,-2.488452196,Scheme D,Low-interest loans for MSMEs in the manufacturing sector.,Yes
86,LMN Industries,A family-run textile business making handloom fabrics.,Manufacturing,Medium,34,566,Telangana,Coimbatore,391,28764832.57,26570785.81,8950063.704,108832.8664,17558794.48,3261149.585,4548459.843,9480944.372,8747750.732,9.673160976,Scheme B,Government-backed credit support for IT startups.,Yes
87,XYZ Enterprises,An innovative food processing startup focusing on organic products.,Construction,Medium,35,537,Gujarat,Thiruvananthapuram,481,11701103.49,4388456.641,43887663.62,8529074.283,14353461.79,8114416.178,1454669.456,2121850.24,9384797.152,19.34236175,Scheme D,Subsidized loans for women entrepreneurs in the food industry.,Yes
88,ABC Pvt Ltd,An innovative food processing startup focusing on organic products.,Education,Small,33,352,Assam,Hyderabad,461,14852366.08,20351788.29,16263351.26,2735482.383,3661252.63,14183315.33,5142190.086,6020090.569,2280055.853,13.61970807,Scheme A,Tax benefits for small textile businesses.,No
89,XYZ Enterprises,A small manufacturing unit producing auto parts.,Textile,Small,26,355,Rajasthan,Ludhiana,429,49053252.13,27363354.06,25446215.99,11557410.32,9207999.481,4675378.396,2275397.103,2070546.06,3952455.016,-7.885239978,Scheme C,Government-backed credit support for IT startups.,Yes
90,ABC Pvt Ltd,A small manufacturing unit producing auto parts.,E-commerce,Micro,33,818,Odisha,Panaji,316,25581398.08,46137958.69,8170951.894,16578592.9,3234449.401,13036872.71,5816002.217,8305922.216,2272446.93,24.70088447,Scheme B,Subsidized loans for women entrepreneurs in the food industry.,No
91,XYZ Enterprises,An innovative food processing startup focusing on organic products.,E-commerce,Medium,46,522,West Bengal,Indore,425,1118018.234,3655767.898,22887216.58,14211415.46,858171.6126,4138754.47,1514887.556,8427471.243,6200158.813,23.74345769,Scheme C,Tax benefits for small textile businesses.,No
92,LMN Industries,An innovative food processing startup focusing on organic products.,Automobile,Medium,25,640,Chhattisgarh,Chennai,244,40499396.33,11593925.87,8652523.949,16490260.41,19698873.66,10615631.08,7031852.026,220814.3613,5547509.432,-2.807631354,Scheme B,Subsidized loans for women entrepreneurs in the food industry.,Yes
93,XYZ Enterprises,A small manufacturing unit producing auto parts.,Manufacturing,Micro,38,406,Rajasthan,Lucknow,356,46414340,6276283.5,1421979.526,16355331.6,3691630.647,14385987,9336148.555,2926263.833,1738229.731,18.14832584,Scheme D,Government-backed credit support for IT startups.,No
94,ABC Pvt Ltd,A family-run textile business making handloom fabrics.,Pharmaceuticals,Micro,17,440,Jharkhand,Jaipur,215,49004104.92,44770054.25,37732965.91,4785957.673,14419033.7,14151534.51,8636011.065,7847151.424,2005960.703,17.52307963,Scheme C,Government-backed credit support for IT startups.,Yes
